Store,Product,Date,Week_of_Year,Day_of_Year,Is_Holiday,Base Price,Price,Weekly_Units_Sold,NormToMin_Weekly_Units_Sold,NormToMax_Weekly_Units_Sold
1,1,2/5/2010,5,36,FALSE,9.99,7.99,245,2.38,0.541
1,1,2/12/2010,6,43,TRUE,9.99,7.99,453,4.4,1
1,1,2/19/2010,7,50,FALSE,9.99,7.99,409,3.97,0.903
1,1,2/26/2010,8,57,FALSE,9.99,7.99,191,1.85,0.422
1,1,3/5/2010,9,64,FALSE,9.99,9.99,145,1.41,0.32
1,1,3/12/2010,10,71,FALSE,9.99,9.99,140,1.36,0.309
1,1,3/19/2010,11,78,FALSE,9.99,9.99,147,1.43,0.325
1,1,3/26/2010,12,85,FALSE,9.99,9.99,175,1.7,0.386
1,1,4/2/2010,13,92,FALSE,9.99,9.99,382,3.71,0.843
1,1,4/9/2010,14,99,FALSE,9.99,9.99,287,2.79,0.634
1,1,4/16/2010,15,106,FALSE,9.99,9.99,117,1.14,0.258
1,1,4/23/2010,16,113,FALSE,9.99,9.99,107,1.04,0.236
1,1,4/30/2010,17,120,FALSE,9.99,9.99,111,1.08,0.245
1,1,5/7/2010,18,127,FALSE,9.99,7.99,171,1.66,0.377
1,1,5/14/2010,19,134,FALSE,9.99,7.99,186,1.81,0.411
1,1,5/21/2010,20,141,FALSE,9.99,7.99,145,1.41,0.32
1,1,5/28/2010,21,148,FALSE,9.99,7.99,153,1.49,0.338
1,1,6/4/2010,22,155,FALSE,9.99,9.99,117,1.14,0.258
1,1,6/11/2010,23,162,FALSE,9.99,9.99,111,1.08,0.245
1,1,6/18/2010,24,169,FALSE,9.99,9.99,108,1.05,0.238
1,1,6/25/2010,25,176,FALSE,9.99,9.99,109,1.06,0.241
1,1,7/2/2010,26,183,FALSE,9.99,9.99,109,1.06,0.241
1,1,7/9/2010,27,190,FALSE,9.99,9.99,118,1.15,0.26
1,1,7/16/2010,28,197,FALSE,9.99,9.99,115,1.12,0.254
1,1,7/23/2010,29,204,FALSE,9.99,9.99,103,1,0.227
1,1,7/30/2010,30,211,FALSE,9.99,9.99,103,1,0.227
1,1,8/6/2010,31,218,FALSE,9.99,9.99,117,1.14,0.258
1,1,8/13/2010,32,225,FALSE,9.99,9.99,103,1,0.227
1,1,8/20/2010,33,232,FALSE,9.99,9.99,105,1.02,0.232
1,1,8/27/2010,34,239,FALSE,9.99,9.99,105,1.02,0.232
1,1,9/3/2010,35,246,FALSE,9.99,9.99,108,1.05,0.238
