,Store,Product,Month,Day,Is_Holiday,Base Price,Price,Cost,Weekly_Units_Sold
0,1,1,2,5,False,9.99,7.99,2.50,245
1,1,1,2,12,True,9.99,7.99,2.50,453
2,1,1,2,19,False,9.99,7.99,2.50,409
3,1,1,2,26,False,9.99,7.99,2.50,191
4,1,1,3,5,False,9.99,9.99,2.50,145
5,1,1,3,12,False,9.99,9.99,2.50,140
6,1,1,3,19,False,9.99,9.99,2.50,147
7,1,1,3,26,False,9.99,9.99,2.50,175
8,1,1,4,2,False,9.99,9.99,2.50,382
9,1,1,4,9,False,9.99,9.99,2.50,287
10,1,1,4,16,False,9.99,9.99,2.50,117
11,1,1,4,23,False,9.99,9.99,2.50,107
12,1,1,4,30,False,9.99,9.99,2.50,111
13,1,1,5,7,False,9.99,7.99,2.50,171
14,1,1,5,14,False,9.99,7.99,2.50,186
15,1,1,5,21,False,9.99,7.99,2.50,145
16,1,1,5,28,False,9.99,7.99,2.50,153
17,1,1,6,4,False,9.99,9.99,2.50,117
18,1,1,6,11,False,9.99,9.99,2.50,111
19,1,1,6,18,False,9.99,9.99,2.50,108
20,1,1,6,25,False,9.99,9.99,2.50,109
21,1,1,7,2,False,9.99,9.99,2.50,109
22,1,1,7,9,False,9.99,9.99,2.50,118
23,1,1,7,16,False,9.99,9.99,2.50,115
24,1,1,7,23,False,9.99,9.99,2.50,103
25,1,1,7,30,False,9.99,9.99,2.50,103
26,1,1,8,6,False,9.99,9.99,2.50,117
27,1,1,8,13,False,9.99,9.99,2.50,103
28,1,1,8,20,False,9.99,9.99,2.50,105
29,1,1,8,27,False,9.99,9.99,2.50,105
30,1,1,9,3,False,9.99,9.99,2.50,108
31,1,1,9,10,True,9.99,9.99,2.50,121
32,1,1,9,17,False,9.99,9.99,2.50,129
33,1,1,9,24,False,9.99,9.99,2.50,121
34,1,1,10,1,False,9.99,9.99,2.50,134
35,1,1,10,8,False,9.99,9.99,2.50,156
36,1,1,10,15,False,9.99,9.99,2.50,180
37,1,1,10,22,False,9.99,9.99,2.50,170
38,1,1,10,29,False,9.99,9.99,2.50,257
39,1,1,11,5,False,9.99,9.99,2.50,228
40,1,1,11,12,False,9.99,9.99,2.50,130
41,1,1,11,19,False,9.99,9.99,2.50,131
42,1,1,11,26,True,9.99,9.99,2.50,125
43,1,1,12,3,False,9.99,9.99,2.50,150
44,1,1,12,10,False,9.99,9.99,2.50,210
45,1,1,12,17,False,9.99,9.99,2.50,299
46,1,1,12,24,False,9.99,9.99,2.50,373
47,1,1,12,31,True,9.99,9.99,2.50,127
48,1,1,1,7,False,10.99,10.99,2.75,93
49,1,1,1,14,False,10.99,10.99,2.75,100
50,1,1,1,21,False,10.99,10.99,2.75,100
51,1,1,1,28,False,10.99,10.99,2.75,107
52,1,1,2,4,False,10.99,8.79,2.75,185
53,1,1,2,11,True,10.99,8.79,2.75,323
54,1,1,2,18,False,10.99,8.79,2.75,399
55,1,1,2,25,False,10.99,8.79,2.75,165
56,1,1,3,4,False,10.99,10.99,2.75,117
57,1,1,3,11,False,10.99,10.99,2.75,123
58,1,1,3,18,False,10.99,10.99,2.75,117
59,1,1,3,25,False,10.99,10.99,2.75,121
60,1,1,4,1,False,10.99,10.99,2.75,118
61,1,1,4,8,False,10.99,10.99,2.75,138
62,1,1,4,15,False,10.99,10.99,2.75,166
63,1,1,4,22,False,10.99,10.99,2.75,292
64,1,1,4,29,False,10.99,10.99,2.75,240
65,1,1,5,6,False,10.99,8.79,2.75,171
66,1,1,5,13,False,10.99,8.79,2.75,147
67,1,1,5,20,False,10.99,8.79,2.75,129
68,1,1,5,27,False,10.99,8.79,2.75,134
69,1,1,6,3,False,10.99,10.99,2.75,95
70,1,1,6,10,False,10.99,10.99,2.75,92
71,1,1,6,17,False,10.99,10.99,2.75,87
72,1,1,6,24,False,10.99,10.99,2.75,91
73,1,1,7,1,False,10.99,10.99,2.75,89
74,1,1,7,8,False,10.99,10.99,2.75,93
75,1,1,7,15,False,10.99,10.99,2.75,91
76,1,1,7,22,False,10.99,10.99,2.75,91
77,1,1,7,29,False,10.99,10.99,2.75,92
78,1,1,8,5,False,10.99,10.99,2.75,89
79,1,1,8,12,False,10.99,10.99,2.75,84
80,1,1,8,19,False,10.99,10.99,2.75,85
81,1,1,8,26,False,10.99,10.99,2.75,84
82,1,1,9,2,False,10.99,10.99,2.75,88
83,1,1,9,9,True,10.99,10.99,2.75,103
84,1,1,9,16,False,10.99,10.99,2.75,107
85,1,1,9,23,False,10.99,10.99,2.75,103
86,1,1,9,30,False,10.99,10.99,2.75,106
87,1,1,10,7,False,10.99,10.99,2.75,120
88,1,1,10,14,False,10.99,10.99,2.75,133
89,1,1,10,21,False,10.99,10.99,2.75,135
90,1,1,10,28,False,10.99,10.99,2.75,183
91,1,1,11,4,False,10.99,10.99,2.75,231
92,1,1,11,11,False,10.99,10.99,2.75,108
93,1,1,11,18,False,10.99,10.99,2.75,110
94,1,1,11,25,True,10.99,10.99,2.75,121
95,1,1,12,2,False,10.99,10.99,2.75,146
96,1,1,12,9,False,10.99,10.99,2.75,193
97,1,1,12,16,False,10.99,10.99,2.75,265
98,1,1,12,23,False,10.99,10.99,2.75,271
99,1,1,12,30,True,10.99,10.99,2.75,135
100,1,1,1,6,False,10.99,10.99,2.75,96
101,1,1,1,13,False,10.99,10.99,2.75,97
102,1,1,1,20,False,10.99,10.99,2.75,106
103,1,1,1,27,False,10.99,10.99,2.75,106
104,1,1,2,3,False,10.99,8.79,2.75,200
105,1,1,2,10,True,10.99,8.79,2.75,315
106,1,1,2,17,False,10.99,8.79,2.75,461
107,1,1,2,24,False,10.99,8.79,2.75,171
108,1,1,3,2,False,10.99,10.99,2.75,116
109,1,1,3,9,False,10.99,10.99,2.75,122
110,1,1,3,16,False,10.99,10.99,2.75,129
111,1,1,3,23,False,10.99,10.99,2.75,128
112,1,1,3,30,False,10.99,10.99,2.75,167
113,1,1,4,6,False,10.99,10.99,2.75,333
114,1,1,4,13,False,10.99,10.99,2.75,201
115,1,1,4,20,False,10.99,10.99,2.75,98
116,1,1,4,27,False,10.99,10.99,2.75,95
117,1,1,5,4,False,10.99,8.79,2.75,146
118,1,1,5,11,False,10.99,8.79,2.75,155
119,1,1,5,18,False,10.99,8.79,2.75,158
120,1,1,5,25,False,10.99,8.79,2.75,145
121,1,1,6,1,False,10.99,10.99,2.75,93
122,1,1,6,8,False,10.99,10.99,2.75,102
123,1,1,6,15,False,10.99,10.99,2.75,101
124,1,1,6,22,False,10.99,10.99,2.75,96
125,1,1,6,29,False,10.99,10.99,2.75,91
126,1,1,7,6,False,10.99,10.99,2.75,103
127,1,1,7,13,False,10.99,10.99,2.75,96
128,1,1,7,20,False,10.99,10.99,2.75,95
129,1,1,7,27,False,10.99,10.99,2.75,91
130,1,1,8,3,False,10.99,10.99,2.75,96
131,1,1,8,10,False,10.99,10.99,2.75,93
132,1,1,8,17,False,10.99,10.99,2.75,100
133,1,1,8,24,False,10.99,10.99,2.75,94
134,1,1,8,31,False,10.99,10.99,2.75,97
135,1,1,9,7,True,10.99,10.99,2.75,106
136,1,1,9,14,False,10.99,10.99,2.75,113
137,1,1,9,21,False,10.99,10.99,2.75,111
138,1,1,9,28,False,10.99,10.99,2.75,109
139,1,1,10,5,False,10.99,10.99,2.75,127
140,1,1,10,12,False,10.99,10.99,2.75,131
141,1,1,10,19,False,10.99,10.99,2.75,140
142,1,1,10,26,False,10.99,10.99,2.75,158
143,1,2,2,5,False,5.99,5.99,1.50,337
144,1,2,2,12,True,5.99,5.99,1.50,298
145,1,2,2,19,False,5.99,5.99,1.50,319
146,1,2,2,26,False,5.99,5.99,1.50,295
147,1,2,3,5,False,5.99,5.99,1.50,323
148,1,2,3,12,False,5.99,5.99,1.50,292
149,1,2,3,19,False,5.99,5.99,1.50,291
150,1,2,3,26,False,5.99,5.99,1.50,279
151,1,2,4,2,False,5.99,4.01,1.50,577
152,1,2,4,9,False,5.99,4.01,1.50,566
153,1,2,4,16,False,5.99,4.01,1.50,547
154,1,2,4,23,False,5.99,4.01,1.50,540
155,1,2,4,30,False,5.99,4.01,1.50,559
156,1,2,5,7,False,5.99,5.99,1.50,319
157,1,2,5,14,False,5.99,5.99,1.50,291
158,1,2,5,21,False,5.99,5.99,1.50,295
159,1,2,5,28,False,5.99,5.99,1.50,297
160,1,2,6,4,False,5.99,5.99,1.50,325
161,1,2,6,11,False,5.99,5.99,1.50,314
162,1,2,6,18,False,5.99,5.99,1.50,296
163,1,2,6,25,False,5.99,5.99,1.50,302
164,1,2,7,2,False,5.99,4.01,1.50,572
165,1,2,7,9,False,5.99,4.01,1.50,568
166,1,2,7,16,False,5.99,4.01,1.50,539
167,1,2,7,23,False,5.99,4.01,1.50,544
168,1,2,7,30,False,5.99,4.01,1.50,557
169,1,2,8,6,False,5.99,5.99,1.50,333
170,1,2,8,13,False,5.99,5.99,1.50,303
171,1,2,8,20,False,5.99,5.99,1.50,332
172,1,2,8,27,False,5.99,5.99,1.50,331
173,1,2,9,3,False,5.99,5.99,1.50,327
174,1,2,9,10,True,5.99,5.99,1.50,301
175,1,2,9,17,False,5.99,5.99,1.50,298
176,1,2,9,24,False,5.99,5.99,1.50,283
177,1,2,10,1,False,5.99,5.99,1.50,305
178,1,2,10,8,False,5.99,5.99,1.50,309
179,1,2,10,15,False,5.99,5.99,1.50,287
180,1,2,10,22,False,5.99,5.99,1.50,283
181,1,2,10,29,False,5.99,5.99,1.50,294
182,1,2,11,5,False,5.99,5.99,1.50,309
183,1,2,11,12,False,5.99,5.99,1.50,288
184,1,2,11,19,False,5.99,5.99,1.50,276
185,1,2,11,26,True,5.99,5.99,1.50,305
186,1,2,12,3,False,5.99,5.99,1.50,296
187,1,2,12,10,False,5.99,5.99,1.50,313
188,1,2,12,17,False,5.99,5.99,1.50,329
189,1,2,12,24,False,5.99,5.99,1.50,399
190,1,2,12,31,True,5.99,5.99,1.50,239
191,1,2,1,7,False,5.99,5.99,1.50,288
