,Store,Product,week_of_year,Base Price,Price,promotion,Is_Holiday,Weekly_Units_Sold
0,_1,_1,_5,9.99,7.99,1,0,245
1,_1,_1,_6,9.99,7.99,1,1,453
2,_1,_1,_7,9.99,7.99,1,0,409
3,_1,_1,_8,9.99,7.99,1,0,191
4,_1,_1,_9,9.99,9.99,0,0,145
5,_1,_1,_10,9.99,9.99,0,0,140
6,_1,_1,_11,9.99,9.99,0,0,147
7,_1,_1,_12,9.99,9.99,0,0,175
8,_1,_1,_13,9.99,9.99,0,0,382
9,_1,_1,_14,9.99,9.99,0,0,287
10,_1,_1,_15,9.99,9.99,0,0,117
11,_1,_1,_16,9.99,9.99,0,0,107
12,_1,_1,_17,9.99,9.99,0,0,111
13,_1,_1,_18,9.99,7.99,1,0,171
14,_1,_1,_19,9.99,7.99,1,0,186
15,_1,_1,_20,9.99,7.99,1,0,145
16,_1,_1,_21,9.99,7.99,1,0,153
17,_1,_1,_22,9.99,9.99,0,0,117
18,_1,_1,_23,9.99,9.99,0,0,111
19,_1,_1,_24,9.99,9.99,0,0,108
20,_1,_1,_25,9.99,9.99,0,0,109
21,_1,_1,_26,9.99,9.99,0,0,109
22,_1,_1,_27,9.99,9.99,0,0,118
23,_1,_1,_28,9.99,9.99,0,0,115
24,_1,_1,_29,9.99,9.99,0,0,103
25,_1,_1,_30,9.99,9.99,0,0,103
26,_1,_1,_31,9.99,9.99,0,0,117
27,_1,_1,_32,9.99,9.99,0,0,103
28,_1,_1,_33,9.99,9.99,0,0,105
29,_1,_1,_34,9.99,9.99,0,0,105
30,_1,_1,_35,9.99,9.99,0,0,108
31,_1,_1,_36,9.99,9.99,0,1,121
32,_1,_1,_37,9.99,9.99,0,0,129
33,_1,_1,_38,9.99,9.99,0,0,121
34,_1,_1,_39,9.99,9.99,0,0,134
35,_1,_1,_40,9.99,9.99,0,0,156
36,_1,_1,_41,9.99,9.99,0,0,180
37,_1,_1,_42,9.99,9.99,0,0,170
38,_1,_1,_43,9.99,9.99,0,0,257
39,_1,_1,_44,9.99,9.99,0,0,228
40,_1,_1,_45,9.99,9.99,0,0,130
41,_1,_1,_46,9.99,9.99,0,0,131
42,_1,_1,_47,9.99,9.99,0,1,125
43,_1,_1,_48,9.99,9.99,0,0,150
44,_1,_1,_49,9.99,9.99,0,0,210
45,_1,_1,_50,9.99,9.99,0,0,299
46,_1,_1,_51,9.99,9.99,0,0,373
47,_1,_1,_52,9.99,9.99,0,1,127
48,_1,_1,_1,10.99,10.99,0,0,93
49,_1,_1,_2,10.99,10.99,0,0,100
50,_1,_1,_3,10.99,10.99,0,0,100
51,_1,_1,_4,10.99,10.99,0,0,107
52,_1,_1,_5,10.99,8.79,1,0,185
53,_1,_1,_6,10.99,8.79,1,1,323
54,_1,_1,_7,10.99,8.79,1,0,399
55,_1,_1,_8,10.99,8.79,1,0,165
56,_1,_1,_9,10.99,10.99,0,0,117
57,_1,_1,_10,10.99,10.99,0,0,123
58,_1,_1,_11,10.99,10.99,0,0,117
59,_1,_1,_12,10.99,10.99,0,0,121
60,_1,_1,_13,10.99,10.99,0,0,118
61,_1,_1,_14,10.99,10.99,0,0,138
62,_1,_1,_15,10.99,10.99,0,0,166
63,_1,_1,_16,10.99,10.99,0,0,292
64,_1,_1,_17,10.99,10.99,0,0,240
65,_1,_1,_18,10.99,8.79,1,0,171
66,_1,_1,_19,10.99,8.79,1,0,147
67,_1,_1,_20,10.99,8.79,1,0,129
68,_1,_1,_21,10.99,8.79,1,0,134
69,_1,_1,_22,10.99,10.99,0,0,95
70,_1,_1,_23,10.99,10.99,0,0,92
71,_1,_1,_24,10.99,10.99,0,0,87
72,_1,_1,_25,10.99,10.99,0,0,91
73,_1,_1,_26,10.99,10.99,0,0,89
74,_1,_1,_27,10.99,10.99,0,0,93
75,_1,_1,_28,10.99,10.99,0,0,91
76,_1,_1,_29,10.99,10.99,0,0,91
77,_1,_1,_30,10.99,10.99,0,0,92
78,_1,_1,_31,10.99,10.99,0,0,89
79,_1,_1,_32,10.99,10.99,0,0,84
80,_1,_1,_33,10.99,10.99,0,0,85
81,_1,_1,_34,10.99,10.99,0,0,84
82,_1,_1,_35,10.99,10.99,0,0,88
83,_1,_1,_36,10.99,10.99,0,1,103
84,_1,_1,_37,10.99,10.99,0,0,107
85,_1,_1,_38,10.99,10.99,0,0,103
86,_1,_1,_39,10.99,10.99,0,0,106
87,_1,_1,_40,10.99,10.99,0,0,120
88,_1,_1,_41,10.99,10.99,0,0,133
89,_1,_1,_42,10.99,10.99,0,0,135
90,_1,_1,_43,10.99,10.99,0,0,183
91,_1,_1,_44,10.99,10.99,0,0,231
92,_1,_1,_45,10.99,10.99,0,0,108
93,_1,_1,_46,10.99,10.99,0,0,110
94,_1,_1,_47,10.99,10.99,0,1,121
95,_1,_1,_48,10.99,10.99,0,0,146
96,_1,_1,_49,10.99,10.99,0,0,193
97,_1,_1,_50,10.99,10.99,0,0,265
98,_1,_1,_51,10.99,10.99,0,0,271
99,_1,_1,_52,10.99,10.99,0,1,135
100,_1,_1,_1,10.99,10.99,0,0,96
101,_1,_1,_2,10.99,10.99,0,0,97
102,_1,_1,_3,10.99,10.99,0,0,106
103,_1,_1,_4,10.99,10.99,0,0,106
104,_1,_1,_5,10.99,8.79,1,0,200
105,_1,_1,_6,10.99,8.79,1,1,315
106,_1,_1,_7,10.99,8.79,1,0,461
107,_1,_1,_8,10.99,8.79,1,0,171
108,_1,_1,_9,10.99,10.99,0,0,116
109,_1,_1,_10,10.99,10.99,0,0,122
110,_1,_1,_11,10.99,10.99,0,0,129
111,_1,_1,_12,10.99,10.99,0,0,128
112,_1,_1,_13,10.99,10.99,0,0,167
