Date,Store,Product,Is_Holiday,Base Price,Price,Weekly_Units_Sold,weekly_sales,year,month,day,week_of_year,promotion
2010-02-05,1,1,False,9.99,7.99,245,1957.55,2010,2,5,5,1
2010-02-12,1,1,True,9.99,7.99,453,3619.4700000000003,2010,2,12,6,1
2010-02-19,1,1,False,9.99,7.99,409,3267.9100000000003,2010,2,19,7,1
2010-02-26,1,1,False,9.99,7.99,191,1526.0900000000001,2010,2,26,8,1
2010-03-05,1,1,False,9.99,9.99,145,1448.55,2010,3,5,9,0
2010-03-12,1,1,False,9.99,9.99,140,1398.6000000000001,2010,3,12,10,0
2010-03-19,1,1,False,9.99,9.99,147,1468.53,2010,3,19,11,0
2010-03-26,1,1,False,9.99,9.99,175,1748.25,2010,3,26,12,0
2010-04-02,1,1,False,9.99,9.99,382,3816.1800000000003,2010,4,2,13,0
2010-04-09,1,1,False,9.99,9.99,287,2867.13,2010,4,9,14,0
2010-04-16,1,1,False,9.99,9.99,117,1168.83,2010,4,16,15,0
2010-04-23,1,1,False,9.99,9.99,107,1068.93,2010,4,23,16,0
2010-04-30,1,1,False,9.99,9.99,111,1108.89,2010,4,30,17,0
2010-05-07,1,1,False,9.99,7.99,171,1366.29,2010,5,7,18,1
2010-05-14,1,1,False,9.99,7.99,186,1486.14,2010,5,14,19,1
2010-05-21,1,1,False,9.99,7.99,145,1158.55,2010,5,21,20,1
2010-05-28,1,1,False,9.99,7.99,153,1222.47,2010,5,28,21,1
2010-06-04,1,1,False,9.99,9.99,117,1168.83,2010,6,4,22,0
2010-06-11,1,1,False,9.99,9.99,111,1108.89,2010,6,11,23,0
2010-06-18,1,1,False,9.99,9.99,108,1078.92,2010,6,18,24,0
2010-06-25,1,1,False,9.99,9.99,109,1088.91,2010,6,25,25,0
2010-07-02,1,1,False,9.99,9.99,109,1088.91,2010,7,2,26,0
2010-07-09,1,1,False,9.99,9.99,118,1178.82,2010,7,9,27,0
2010-07-16,1,1,False,9.99,9.99,115,1148.8500000000001,2010,7,16,28,0
2010-07-23,1,1,False,9.99,9.99,103,1028.97,2010,7,23,29,0
2010-07-30,1,1,False,9.99,9.99,103,1028.97,2010,7,30,30,0
2010-08-06,1,1,False,9.99,9.99,117,1168.83,2010,8,6,31,0
2010-08-13,1,1,False,9.99,9.99,103,1028.97,2010,8,13,32,0
2010-08-20,1,1,False,9.99,9.99,105,1048.95,2010,8,20,33,0
2010-08-27,1,1,False,9.99,9.99,105,1048.95,2010,8,27,34,0
2010-09-03,1,1,False,9.99,9.99,108,1078.92,2010,9,3,35,0
2010-09-10,1,1,True,9.99,9.99,121,1208.79,2010,9,10,36,0
2010-09-17,1,1,False,9.99,9.99,129,1288.71,2010,9,17,37,0
2010-09-24,1,1,False,9.99,9.99,121,1208.79,2010,9,24,38,0
2010-10-01,1,1,False,9.99,9.99,134,1338.66,2010,10,1,39,0
2010-10-08,1,1,False,9.99,9.99,156,1558.44,2010,10,8,40,0
2010-10-15,1,1,False,9.99,9.99,180,1798.2,2010,10,15,41,0
2010-10-22,1,1,False,9.99,9.99,170,1698.3,2010,10,22,42,0
2010-10-29,1,1,False,9.99,9.99,257,2567.43,2010,10,29,43,0
2010-11-05,1,1,False,9.99,9.99,228,2277.7200000000003,2010,11,5,44,0
2010-11-12,1,1,False,9.99,9.99,130,1298.7,2010,11,12,45,0
2010-11-19,1,1,False,9.99,9.99,131,1308.69,2010,11,19,46,0
2010-11-26,1,1,True,9.99,9.99,125,1248.75,2010,11,26,47,0
2010-12-03,1,1,False,9.99,9.99,150,1498.5,2010,12,3,48,0
2010-12-10,1,1,False,9.99,9.99,210,2097.9,2010,12,10,49,0
2010-12-17,1,1,False,9.99,9.99,299,2987.01,2010,12,17,50,0
