iter	RMSE
0	224.4246907
1	220.1944811
2	215.9305101
3	212.0743624
4	208.1082016
5	204.4991587
6	201.0655829
7	197.7025119
8	194.814472
9	191.5372718
10	188.6760391
11	185.6746799
12	182.8723215
13	180.1311295
14	177.4550291
15	175.1776718
16	172.461697
17	170.065769
18	168.0416277
19	165.9861345
20	163.9147146
21	161.7880344
22	159.381161
23	157.5028757
24	155.4821735
25	153.3023495
26	151.1704397
27	149.4819642
28	147.4839681
29	146.0666167
30	144.1473565
31	142.8622765
32	141.2759893
33	139.5123545
34	138.3039965
35	136.5681863
36	134.8731979
37	133.2656203
38	131.9280719
39	130.3288918
40	129.0120282
41	128.2457301
42	126.8559992
43	125.3803326
44	123.9834661
45	122.5366546
46	121.5001573
47	120.2076026
48	119.1008706
49	118.3044735
50	117.3720158
51	116.4528455
52	115.4992346
53	114.6870227
54	113.704803
55	112.9599454
56	111.8223435
57	111.1044213
58	110.0161636
59	109.0801525
60	108.0422938
61	107.1502278
62	106.2496338
63	105.199021
64	104.2529902
65	103.3907407
66	102.6722408
67	101.8439737
68	101.2051376
69	100.2472511
70	99.44887542
71	98.6694681
72	97.58626455
73	96.78216383
74	96.09448228
75	95.25112635
76	94.6911103
77	93.98605335
78	93.42438808
79	92.67733003
80	91.90713448
81	91.17125013
82	90.50974787
83	89.8844469
84	89.40525419
85	88.8008969
86	88.09088934
87	87.40744108
88	86.74170294
89	86.10859755
90	85.65301071
91	85.21665554
92	84.72959426
93	84.10542843
94	83.56896138
95	83.0253759
96	82.38835158
97	81.88473103
98	81.44180919
99	80.87262689
100	80.3608395
101	80.10471286
102	79.58775481
103	79.04997393
104	78.60328666
105	78.13582502
106	77.80214444
107	77.32658689
108	76.93092507
109	76.36422861
110	75.8564871
111	75.29814981
112	74.82373346
113	74.39351296
114	73.95887083
115	73.59505015
116	73.20578789
117	72.77167605
118	72.43360255
119	72.11182806
120	71.78017186
121	71.44148973
122	71.07458937
123	70.77268747
124	70.52186807
125	70.11379792
126	69.77403697
127	69.3389285
128	68.92869241
129	68.60558758
130	68.16202222
131	67.85125451
132	67.63771656
133	67.3090879
134	66.92461944
135	66.59871958
136	66.26584698
137	66.00219827
138	65.71810418
139	65.38832994
140	65.19432953
141	64.93520469
142	64.65759619
143	64.4285026
144	64.10109826
145	63.79120879
146	63.52599088
147	63.154247
148	62.92752402
149	62.5976663
150	62.23639347
151	61.98243522
152	61.64936193
153	61.48968756
154	61.17586753
155	60.91329669
156	60.71123146
157	60.51659376
158	60.2110946
159	60.0072801
160	59.77842772
161	59.4944868
162	59.22755097
163	59.0626525
164	58.76165838
165	58.52012605
166	58.23841446
167	58.0091129
168	57.71527273
169	57.47661995
170	57.260227
171	56.96813774
172	56.69287722
173	56.42126996
174	56.24895939
175	56.04829357
176	55.87065584
177	55.63041863
178	55.38582395
179	55.15890223
180	54.92716017
181	54.7474244
182	54.50383922
183	54.2342962
184	54.06454419
185	53.8154528
186	53.5627939
187	53.39012465
188	53.09900485
189	52.90424576
190	52.74509728
191	52.56991976
192	52.29322999
193	52.13335707
194	51.94409247
195	51.75326613
196	51.53431931
197	51.28609821
198	51.08893813
199	50.93037608
200	50.78155107
201	50.58520528
202	50.40899563
203	50.23540242
204	50.00248312
205	49.8039309
206	49.61409726
207	49.45194307
208	49.20311615
209	49.01112486
210	48.77433726
211	48.59463547
212	48.42672169
213	48.29606021
214	48.15918961
215	48.00488122
216	47.82674089
217	47.63022462
218	47.46905465
219	47.33380879
220	47.17824577
221	47.0102853
222	46.88121888
223	46.75598208
224	46.63658887
225	46.52625064
226	46.37800797
227	46.25147605
228	46.11042382
229	45.97378367
230	45.82409266
231	45.71453018
232	45.56216238
233	45.45192987
234	45.33529853
235	45.17587971
236	45.07733743
237	44.96900786
238	44.79934772
239	44.70160122
240	44.60735835
241	44.50586162
242	44.39248761
243	44.27009776
244	44.18048162
245	44.07296626
246	43.98783884
247	43.89293501
248	43.80950348
249	43.72385348
250	43.59460069
251	43.51565266
252	43.39306442
253	43.26934067
254	43.14990571
255	43.06507483
256	42.95000101
257	42.8576142
258	42.7318503
259	42.65477942
260	42.54471557
261	42.42208173
262	42.30449682
263	42.20140736
264	42.07342897
265	41.97322956
266	41.90307749
267	41.80841056
268	41.72693249
269	41.6407684
270	41.533767
271	41.4533394
272	41.37512483
273	41.26041648
274	41.15776941
275	41.06593267
276	40.98995726
277	40.89147266
278	40.79657089
279	40.70510731
280	40.60794303
281	40.52273822
282	40.42336961
283	40.32910064
284	40.23152253
285	40.16271659
286	40.07908592
287	39.99197083
288	39.89928904
289	39.81740018
290	39.7232877
291	39.63024503
292	39.55147193
293	39.46237657
294	39.40886179
295	39.34216505
296	39.29079019
297	39.2176902
298	39.13276287
299	39.04969287
300	38.98804237
301	38.92298204
302	38.84687872
303	38.78772361
304	38.72338521
305	38.66609858
306	38.61140916
307	38.55865791
308	38.461584
309	38.39784787
310	38.34052404
311	38.28986684
312	38.23754468
313	38.18827614
314	38.11565632
315	38.06900444
316	38.00844668
317	37.95139177
318	37.89996039
319	37.83742159
320	37.79166386
321	37.74527468
322	37.68648504
323	37.64407338
324	37.55916141
325	37.48868213
326	37.41563604
327	37.37903172
328	37.31633428
329	37.25974798
330	37.17261591
331	37.13809412
332	37.10598764
333	37.06426145
334	36.98635201
335	36.91301452
336	36.86658988
337	36.83111125
338	36.7882142
339	36.75114956
340	36.71107196
341	36.67178656
342	36.62950731
343	36.59054479
344	36.54757314
345	36.49634116
346	36.46388833
347	36.42250365
348	36.38539581
349	36.35531502
350	36.30755533
351	36.27153103
352	36.24091207
353	36.1454841
354	36.09405541
355	36.01470197
356	35.97859621
357	35.89377564
358	35.858955
359	35.81610825
360	35.75765075
361	35.72931424
362	35.68838748
363	35.64157442
364	35.59639686
365	35.56031072
366	35.5208274
367	35.49076436
368	35.46494513
369	35.40752293
370	35.34901908
371	35.31522813
372	35.26551345
373	35.24101909
374	35.20866792
375	35.1708541
376	35.13364812
377	35.09392603
378	35.04954778
379	35.01343007
380	34.9833897
381	34.94292773
382	34.91730912
383	34.87313298
384	34.83465006
385	34.80629579
386	34.74008744
387	34.70022584
388	34.65083665
389	34.61360729
390	34.59066456
391	34.55582755
392	34.51546706
393	34.49286245
394	34.45013587
395	34.40895611
396	34.38424944
397	34.36072568
398	34.32904498
399	34.30205482
400	34.26433726
401	34.22806298
402	34.18745538
403	34.12761368
404	34.09273838
405	34.05670516
406	34.02218472
407	33.98994601
408	33.96120018
409	33.9324854
410	33.90041343
411	33.86432684
412	33.83337135
413	33.79729573
414	33.75628902
415	33.71635853
416	33.69285009
417	33.65914225
418	33.64022588
419	33.61547439
420	33.58226891
421	33.53941474
422	33.51677532
423	33.4777001
424	33.44972571
425	33.4286716
426	33.39781796
427	33.3395057
428	33.30024085
429	33.24688415
430	33.21587958
431	33.18617644
432	33.15838716
433	33.12071084
434	33.0929772
435	33.0782357
436	33.04316083
437	33.0218846
438	32.99908351
439	32.97865396
440	32.95289061
441	32.93099732
442	32.91256405
443	32.88774655
444	32.83150216
445	32.79957431
446	32.77279707
447	32.74449918
448	32.71816155
449	32.68861625
450	32.64091395
451	32.61799174
452	32.59953103
453	32.55350645
454	32.52642314
455	32.49470844
456	32.46337648
457	32.44585426
458	32.42518749
459	32.40836992
460	32.370937
461	32.33896475
462	32.30741773
463	32.28348498
464	32.25475742
465	32.23625852
466	32.22021725
467	32.198194
468	32.1715351
469	32.13887804
470	32.11002387
471	32.08886807
472	32.05548304
473	32.04002267
474	32.02119556
475	31.99333909
476	31.96822812
477	31.93767493
478	31.92136516
479	31.90509963
480	31.87137009
481	31.84572322
482	31.81542361
483	31.79531709
484	31.77967242
485	31.75852429
486	31.73830426
487	31.71807753
488	31.68773609
489	31.65534292
490	31.64274159
491	31.5962608
492	31.57512487
493	31.54371791
494	31.5287618
495	31.51767208
496	31.49777344
497	31.48087142
498	31.43665119
499	31.41825542
500	31.39221668
501	31.36852166
502	31.3248454
503	31.28766369
504	31.26779275
505	31.24638973
506	31.21950741
507	31.18176419
508	31.15889816
